source_table	patient	n_ROI	n_spots	median_EPAS1_vascular_rho	median_EPAS1_program_rho	proportion_positive_EPAS1_vascular	proportion_positive_EPAS1_program	EPAS1_vascular_positive	EPAS1_program_positive	evidence_layer	target	cohort_or_dataset	direction	patient_level_consistency	permutation_or_FDR	CellChat_support	spatial_ecology_support	evidence_grade	interpretation	ligand	receptor	pathway_name	n_edges	min_p	mean_prob	dataset	outcome	n_independent_units	n_positive	n_negative	median_conditional_beta	mean_conditional_beta	exact_two_sided_sign_p	BH_q_across_spatial_endpoints
SecAct										SecAct spatial permutation	IGFBP7	GSE297144	positive	5/8	exact sign p=0.727; BH q=0.727; 1000 coordinate-preserving permutations/ROI	none detected	EPAS1-linked context (not target-specific)	C	directional sensitivity signal; not retained in the core spatial panel															
SecAct										SecAct spatial permutation	ANGPT2	GSE297144	positive	8/8	exact sign p=0.00781; BH q=0.00852; 1000 coordinate-preserving permutations/ROI	ANGPT2 only	EPAS1-linked context (not target-specific)	A	cross-cohort patient-level spatial signal															
SecAct										SecAct spatial permutation	IL33	GSE297144	positive	8/8	exact sign p=0.00781; BH q=0.00852; 1000 coordinate-preserving permutations/ROI	none detected	EPAS1-linked context (not target-specific)	A	cross-cohort patient-level spatial signal															
SecAct										CellChat	ANGPT2	GSE282302	endothelial source -> immune receivers	3 receiver classes; 5 total edges	permutation p not applicable	ITGA5_ITGB1: myeloid, CD8, B cell	supports myeloid/T/NK neighborhood context	B	candidate-specific communication support; association, not causal signaling															
SecAct										Spatial ecology	EPAS1	GSE282302	EPAS1-high > EPAS1-low	14/14 patients for myeloid and T/NK programs	patient sign test reported in spatial ecology output	indirect	median delta myeloid=0.070; T/NK=0.089	B	immune neighborhood context for the EPAS1 axis; CAF association unstable															
SecAct										MR primary	EPAS1	GTEx v8 -> PDAC GWAS	not estimable	0 genome-wide GTEx instruments	failed instrument/outcome-overlap gate	not applicable	not applicable	D	no causal MR claim; report as an explicit negative gate															
SecAct										MR orthogonal	TACC1; HERPUD1	BLUEPRINT/Lepik -> PDAC GWAS	exploratory only	cis signals present but tissue/outcome mismatch	no primary valid instrument set	not applicable	not applicable	C	sensitivity evidence only; not used to establish causality															
SecAct										Protein abundance	TACC1; MARCKS; HERPUD1	CPTAC-PAAD	detected	140, 140, and 93 samples non-missing	not applicable	not applicable	orthogonal to spatial context	B	protein-layer detectability supports biological assayability															
SecAct										Protein abundance	EPAS1	HPA	protein evidence; tissue/cell specificity not detected	evidence at protein level	not applicable	not applicable	not applicable	C	protein existence is supported, but localization evidence is weak															
SecAct										Clinical protein survival	TACC1	CPTAC-PAAD	higher protein associated with outcome	n=134; 76 events	continuous Cox p=0.018; median split p=0.334	not applicable	not applicable	B	continuous association is supportive but requires external validation															
SecAct										DepMap CRISPR	EPAS1; MARCKS; HERPUD1; TACC1	47 PDAC cell models	weak dependency	strong-dependency fraction=0 for all four	not applicable	not applicable	not applicable	D	does not support a robust tumor-cell autonomous dependency															
SecAct										PRISM pharmacology	Y-39983; triclabendazole	PDAC cell-line subset	association not significant	n=33-36; all FDR > 0.70	not applicable	not applicable	not applicable	D	in-vitro drug-response association is not reproducible enough for promotion															
SecAct										Drug-response ML	Y-39983; triclabendazole	PRISM + molecular features	no predictive gain	100x repeated 5-fold CV; median R2 < 0; retention gate failed	outer-CV gate failed	not applicable	not applicable	D	SHAP/ML retained as transparent negative sensitivity analysis															
SecAct										Virtual perturbation	EPAS1	GSE154778/GSE155698/GSE212966	KO/OE alters endothelial/angiogenesis programs	endothelial program significant in 3/3 KO datasets	multi-dataset program FDR gate	not applicable	not applicable	B	multi-dataset computational perturbation supports mechanistic prioritization															
SecAct										DrugReflector	EPAS1	LINCS signatures; composite/endothelial strata	reverse signature recurrence	Y-39983 and triclabendazole recurrent in 2/2 strata	recurrent in 2/2 strata	not applicable	not applicable	B	prioritization evidence for hypothesis generation															
SecAct										Molecular docking	EPAS1	5 PAS-B conformers	favorable predicted binding	Y-39983 and triclabendazole stable across 5/5 conformers	5/5 co-crystal RMSD QC pass	not applicable	not applicable	B	structure-supported computational evidence; not direct binding validation															
SecAct										Targeted external survival	EPAS1	GSE21501	no survival association	102 eligible samples; 66 events	EPAS1 Cox HR=0.914, P=0.483; endothelial-program HR=0.972, P=0.876	not applicable	not applicable	D	independent clinical-stage negative gate; EPAS1 is not promoted as a validated prognostic biomarker															
CellChat											B_cell									ANGPT2	ITGA5_ITGB1	ANGPT	1.0	0.0	8.27035482259801e-06									
CellChat											CD8									ANGPT2	ITGA5_ITGB1	ANGPT	1.0	0.0	2.02346893159606e-06									
CellChat											myeloid									ANGPT2	ITGA5_ITGB1	ANGPT	3.0	0.0	1.68773471832065e-05									
conditional_spatial																										GSE282302	myeloid_neighbor_score	14.0	5.0	9.0	-0.0188476511400158	-0.0151894598913056	0.4239501953125	0.5652669270833334
conditional_spatial																										GSE282302	T_NK_neighbor_score	14.0	12.0	2.0	0.0355573571473161	0.0348065573372585	0.012939453125	0.02587890625
conditional_spatial																										GSE282302	endothelial_neighbor_score	14.0	14.0	0.0	0.0910984858986217	0.1045028439971348	0.0001220703125	0.00048828125
conditional_spatial																										GSE297144	endothelial_program_excluding_EPAS1	6.0	2.0	4.0	-0.0195645565649605	-0.0151240735671513	0.6875	0.6875
